date,nasdaq_close
2025-04-01,17449.890625
2025-04-02,17601.05078125
2025-04-03,16550.609375
2025-04-04,15587.7900390625
2025-04-07,15603.259765625
2025-04-08,15267.91015625
2025-04-09,17124.970703125
2025-04-10,16387.310546875
2025-04-11,16724.4609375
2025-04-14,16831.48046875
2025-04-15,16823.169921875
2025-04-16,16307.16015625
2025-04-17,16286.4501953125
2025-04-21,15870.900390625
2025-04-22,16300.419921875
2025-04-23,16708.05078125
2025-04-24,17166.0390625
2025-04-25,17382.939453125
2025-04-28,17366.130859375
2025-04-29,17461.3203125
2025-04-30,17446.33984375
2025-05-01,17710.740234375
2025-05-02,17977.73046875
2025-05-05,17844.240234375
2025-05-06,17689.66015625
2025-05-07,17738.16015625
2025-05-08,17928.140625
2025-05-09,17928.919921875
2025-05-12,18708.33984375
2025-05-13,19010.08984375
2025-05-14,19146.810546875
2025-05-15,19112.3203125
2025-05-16,19211.099609375
2025-05-19,19215.4609375
2025-05-20,19142.7109375
2025-05-21,18872.640625
2025-05-22,18925.740234375
2025-05-23,18737.2109375
2025-05-27,19199.16015625
2025-05-28,19100.939453125
2025-05-29,19175.869140625
2025-05-30,19113.76953125
2025-06-02,19242.609375
2025-06-03,19398.9609375
2025-06-04,19460.490234375
2025-06-05,19298.44921875
2025-06-06,19529.94921875
2025-06-09,19591.240234375
2025-06-10,19714.990234375
2025-06-11,19615.880859375
2025-06-12,19662.490234375
2025-06-13,19406.830078125
2025-06-16,19701.2109375
2025-06-17,19521.08984375
2025-06-18,19546.26953125
2025-06-20,19447.41015625
2025-06-23,19630.970703125
2025-06-24,19912.529296875
2025-06-25,19973.55078125
2025-06-26,20167.91015625
