date,nifty_close
2025-04-01,23165.69921875
2025-04-02,23332.349609375
2025-04-03,23250.099609375
2025-04-04,22904.44921875
2025-04-07,22161.599609375
2025-04-08,22535.849609375
2025-04-09,22399.150390625
2025-04-11,22828.55078125
2025-04-15,23328.55078125
2025-04-16,23437.19921875
2025-04-17,23851.650390625
2025-04-21,24125.55078125
2025-04-22,24167.25
2025-04-23,24328.94921875
2025-04-24,24246.69921875
2025-04-25,24039.349609375
2025-04-28,24328.5
2025-04-29,24335.94921875
2025-04-30,24334.19921875
2025-05-02,24346.69921875
2025-05-05,24461.150390625
2025-05-06,24379.599609375
2025-05-07,24414.400390625
2025-05-08,24273.80078125
2025-05-09,24008.0
2025-05-12,24924.69921875
2025-05-13,24578.349609375
2025-05-14,24666.900390625
2025-05-15,25062.099609375
2025-05-16,25019.80078125
2025-05-19,24945.44921875
2025-05-20,24683.900390625
2025-05-21,24813.44921875
2025-05-22,24609.69921875
2025-05-23,24853.150390625
2025-05-26,25001.150390625
2025-05-27,24826.19921875
2025-05-28,24752.44921875
2025-05-29,24833.599609375
2025-05-30,24750.69921875
2025-06-02,24716.599609375
2025-06-03,24542.5
2025-06-04,24620.19921875
2025-06-05,24750.900390625
2025-06-06,25003.05078125
2025-06-09,25103.19921875
2025-06-10,25104.25
2025-06-11,25141.400390625
2025-06-12,24888.19921875
2025-06-13,24718.599609375
2025-06-16,24946.5
2025-06-17,24853.400390625
2025-06-18,24812.05078125
2025-06-19,24793.25
2025-06-20,25112.400390625
2025-06-23,24971.900390625
2025-06-24,25044.349609375
2025-06-25,25244.75
2025-06-26,25549.0
2025-06-27,25601.650390625
